Text Collection,Graph Constructor Algorithm,Graph Parameter k,# of Positive Labeled Documents,α,λ (|D+'| = λ x |D+|),# of iterations (m),F1 Score,Standard Deviation,Negative Precision
tr21,kNN,3,10,0.02,0.8,2,0.3426,0.2969,0.8625
tr21,kNN,3,10,0.02,0.8,3,0.3389,0.2935,0.8547
tr21,kNN,3,10,0.02,1,1,0.3505,0.2955,0.8775
tr21,kNN,3,10,0.02,1,2,0.3506,0.2962,0.8763
tr21,kNN,3,10,0.02,1,3,0.3506,0.2965,0.8724
tr21,kNN,3,10,0.02,1.2,1,0.3566,0.2957,0.8841
tr21,kNN,3,10,0.02,1.2,2,0.3545,0.2947,0.8830
tr21,kNN,3,10,0.02,1.2,3,0.3506,0.2965,0.8724
tr21,kNN,3,10,0.02,1.4,1,0.3680,0.2932,0.8927
tr21,kNN,3,10,0.02,1.4,2,0.3629,0.2914,0.8896
tr21,kNN,3,10,0.02,1.4,3,0.3554,0.2941,0.8841
tr21,kNN,3,10,0.02,2,1,0.3768,0.2901,0.9100
tr21,kNN,3,10,0.02,2,2,0.3731,0.2875,0.9025
tr21,kNN,3,10,0.02,2,3,0.3702,0.2876,0.9018
tr21,kNN,3,20,0.1,0.2,1,0.3162,0.1294,0.6736
tr21,kNN,3,20,0.1,0.2,2,0.3158,0.1290,0.6736
tr21,kNN,3,20,0.1,0.2,3,0.3153,0.1283,0.6754
tr21,kNN,3,20,0.1,0.6,1,0.3121,0.1355,0.6740
tr21,kNN,3,20,0.1,0.6,2,0.3145,0.1342,0.6740
tr21,kNN,3,20,0.1,0.6,3,0.3154,0.1306,0.6736
tr21,kNN,3,20,0.1,0.8,1,0.3093,0.1393,0.6741
tr21,kNN,3,20,0.1,0.8,2,0.3116,0.1362,0.6741
tr21,kNN,3,20,0.1,0.8,3,0.3122,0.1356,0.6743
tr21,kNN,3,20,0.1,1,1,0.3079,0.1418,0.6733
tr21,kNN,3,20,0.1,1,2,0.3051,0.1411,0.6733
tr21,kNN,3,20,0.1,1,3,0.3079,0.1398,0.6737
tr21,kNN,3,20,0.1,1.2,1,0.3046,0.1450,0.6727
tr21,kNN,3,20,0.1,1.2,2,0.3028,0.1449,0.6727
tr21,kNN,3,20,0.1,1.2,3,0.3055,0.1422,0.6740
tr21,kNN,3,20,0.1,1.4,1,0.3033,0.1530,0.6722
tr21,kNN,3,20,0.1,1.4,2,0.3012,0.1446,0.6722
tr21,kNN,3,20,0.1,1.4,3,0.3022,0.1447,0.6723
tr21,kNN,3,20,0.1,2,1,0.2932,0.1658,0.6694
tr21,kNN,3,20,0.1,2,2,0.2909,0.1502,0.6694
tr21,kNN,3,20,0.1,2,3,0.2947,0.1483,0.6695
tr21,kNN,3,20,0.08,0.2,1,0.4012,0.3071,0.8833
tr21,kNN,3,20,0.08,0.2,2,0.4012,0.3073,0.8833
tr21,kNN,3,20,0.08,0.2,3,0.3976,0.3115,0.8812
tr21,kNN,3,20,0.08,0.6,1,0.4188,0.2998,0.9021
tr21,kNN,3,20,0.08,0.6,2,0.4239,0.2987,0.9031
tr21,kNN,3,20,0.08,0.6,3,0.4201,0.2984,0.8966
tr21,kNN,3,20,0.08,0.8,1,0.4229,0.2978,0.9102
tr21,kNN,3,20,0.08,0.8,2,0.4276,0.2964,0.9102
tr21,kNN,3,20,0.08,0.8,3,0.4233,0.2967,0.9095
tr21,kNN,3,20,0.08,1,1,0.4172,0.3031,0.9150
tr21,kNN,3,20,0.08,1,2,0.4233,0.2984,0.9150
tr21,kNN,3,20,0.08,1,3,0.4176,0.3028,0.9140
tr21,kNN,3,20,0.08,1.2,1,0.4128,0.3055,0.9114
tr21,kNN,3,20,0.08,1.2,2,0.4090,0.3077,0.9106
tr21,kNN,3,20,0.08,1.2,3,0.4220,0.3007,0.9122
tr21,kNN,3,20,0.08,1.4,1,0.4101,0.3070,0.9111
tr21,kNN,3,20,0.08,1.4,2,0.4122,0.3059,0.9111
tr21,kNN,3,20,0.08,1.4,3,0.4187,0.3016,0.9121
tr21,kNN,3,20,0.08,2,1,0.4039,0.3093,0.9011
tr21,kNN,3,20,0.08,2,2,0.4090,0.3039,0.9017
tr21,kNN,3,20,0.08,2,3,0.4100,0.3032,0.9028
tr21,kNN,3,20,0.06,0.2,1,0.4031,0.3080,0.8819
tr21,kNN,3,20,0.06,0.2,2,0.4047,0.3067,0.8819
tr21,kNN,3,20,0.06,0.2,3,0.3994,0.3112,0.8812
tr21,kNN,3,20,0.06,0.6,1,0.4293,0.2947,0.8990
tr21,kNN,3,20,0.06,0.6,2,0.4315,0.2929,0.9000
tr21,kNN,3,20,0.06,0.6,3,0.4215,0.2979,0.8989
tr21,kNN,3,20,0.06,0.8,1,0.4294,0.2950,0.9046
tr21,kNN,3,20,0.06,0.8,2,0.4334,0.2921,0.9046
tr21,kNN,3,20,0.06,0.8,3,0.4327,0.2923,0.9048
tr21,kNN,3,20,0.06,1,1,0.4312,0.2941,0.9067
tr21,kNN,3,20,0.06,1,2,0.4324,0.2919,0.9075
tr21,kNN,3,20,0.06,1,3,0.4280,0.2955,0.9079
